time,open,high,low,close,Volume
2026-06-01T03:30:00+05:30,88.5,89.55,88.45,89.5,1175
2026-06-01T03:35:00+05:30,89.49,90.08,89.34,89.91,1604
2026-06-01T03:40:00+05:30,89.93,89.96,89.54,89.61,1126
2026-06-01T03:45:00+05:30,89.63,89.77,89.62,89.69,690
2026-06-01T03:50:00+05:30,89.7,89.8,89.63,89.68,298
2026-06-01T03:55:00+05:30,89.7,89.71,89.64,89.65,127
2026-06-01T04:00:00+05:30,89.67,89.67,89.34,89.44,391
2026-06-01T04:05:00+05:30,89.44,89.55,89.42,89.49,165
2026-06-01T04:10:00+05:30,89.49,89.5,89.36,89.39,261
2026-06-01T04:15:00+05:30,89.39,89.45,89.37,89.42,197
2026-06-01T04:20:00+05:30,89.41,89.45,89.41,89.44,111
2026-06-01T04:25:00+05:30,89.41,89.63,89.38,89.59,216
2026-06-01T04:30:00+05:30,89.6,89.63,89.42,89.47,141
2026-06-01T04:35:00+05:30,89.45,89.53,89.43,89.48,99
2026-06-01T04:40:00+05:30,89.51,89.53,89.46,89.5,78
2026-06-01T04:45:00+05:30,89.51,89.6,89.49,89.51,87
2026-06-01T04:50:00+05:30,89.52,89.58,89.45,89.49,122
2026-06-01T04:55:00+05:30,89.49,89.52,89.21,89.37,354
2026-06-01T05:00:00+05:30,89.33,89.35,89.11,89.28,387
2026-06-01T05:05:00+05:30,89.26,89.52,89.25,89.51,212
2026-06-01T05:10:00+05:30,89.52,89.65,89.41,89.44,301
2026-06-01T05:15:00+05:30,89.43,89.48,89.35,89.44,142
2026-06-01T05:20:00+05:30,89.45,89.46,89.36,89.45,74
2026-06-01T05:25:00+05:30,89.45,89.48,89.38,89.42,41
2026-06-01T05:30:00+05:30,89.43,89.62,89.42,89.53,183
2026-06-01T05:35:00+05:30,89.53,89.63,89.41,89.57,173
2026-06-01T05:40:00+05:30,89.57,89.65,89.52,89.63,102
2026-06-01T05:45:00+05:30,89.61,89.88,89.57,89.83,345
2026-06-01T05:50:00+05:30,89.8,89.89,89.69,89.74,240
2026-06-01T05:55:00+05:30,89.73,89.75,89.68,89.7,71
2026-06-01T06:00:00+05:30,89.7,89.84,89.67,89.81,119
2026-06-01T06:05:00+05:30,89.79,89.95,89.65,89.69,362
2026-06-01T06:10:00+05:30,89.7,89.73,89.61,89.69,98
2026-06-01T06:15:00+05:30,89.67,89.69,89.49,89.51,137
2026-06-01T06:20:00+05:30,89.5,89.58,89.4,89.4,212
2026-06-01T06:25:00+05:30,89.41,89.44,89.25,89.33,308
2026-06-01T06:30:00+05:30,89.33,89.58,89.03,89.52,736
2026-06-01T06:35:00+05:30,89.48,89.7,89.47,89.63,214
2026-06-01T06:40:00+05:30,89.64,89.77,89.62,89.7,123
2026-06-01T06:45:00+05:30,89.7,89.8,89.66,89.73,145
2026-06-01T06:50:00+05:30,89.73,89.73,89.65,89.68,98
2026-06-01T06:55:00+05:30,89.69,89.78,89.64,89.73,137
2026-06-01T07:00:00+05:30,89.74,89.83,89.7,89.74,175
2026-06-01T07:05:00+05:30,89.71,90.02,89.7,89.92,344
2026-06-01T07:10:00+05:30,89.91,89.96,89.71,89.76,506
2026-06-01T07:15:00+05:30,89.75,90.2,89.73,90.04,533
2026-06-01T07:20:00+05:30,90.01,90.11,89.95,90.05,294
2026-06-01T07:25:00+05:30,90.03,90.04,89.84,89.88,168
2026-06-01T07:30:00+05:30,89.89,89.95,89.8,89.95,230
2026-06-01T07:35:00+05:30,89.94,89.99,89.92,89.94,86
2026-06-01T07:40:00+05:30,89.95,90,89.92,89.95,158
2026-06-01T07:45:00+05:30,89.94,89.94,89.8,89.85,109
2026-06-01T07:50:00+05:30,89.83,89.85,89.78,89.84,99
2026-06-01T07:55:00+05:30,89.83,89.86,89.72,89.86,117
2026-06-01T08:00:00+05:30,89.84,89.94,89.83,89.85,117
2026-06-01T08:05:00+05:30,89.82,89.85,89.62,89.64,219
2026-06-01T08:10:00+05:30,89.66,89.74,89.55,89.62,186
2026-06-01T08:15:00+05:30,89.64,89.64,89.51,89.54,201
2026-06-01T08:20:00+05:30,89.55,89.72,89.52,89.67,162
2026-06-01T08:25:00+05:30,89.68,89.69,89.58,89.61,65
2026-06-01T08:30:00+05:30,89.59,89.64,89.45,89.61,194
2026-06-01T08:35:00+05:30,89.62,89.87,89.62,89.76,412
