time,open,high,low,close,Volume
2026-06-09T18:35:00+05:30,29726.25,29747.25,29725,29739,2393
2026-06-09T18:40:00+05:30,29739.5,29739.5,29707.25,29713.25,1076
2026-06-09T18:45:00+05:30,29713.75,29715.75,29692.25,29698,1540
2026-06-09T18:50:00+05:30,29698,29720.25,29698,29712.25,1431
2026-06-09T18:55:00+05:30,29713,29741,29698.25,29736.75,5777
2026-06-09T19:00:00+05:30,29737,29748,29633.25,29649.75,18881
2026-06-09T19:05:00+05:30,29650.75,29731,29647.75,29686.5,12332
2026-06-09T19:10:00+05:30,29686.5,29769.5,29659,29767,13369
2026-06-09T19:15:00+05:30,29766.5,29846.75,29760,29843.25,14741
2026-06-09T19:20:00+05:30,29844.25,29848.25,29726,29732.25,13141
2026-06-09T19:25:00+05:30,29730.5,29746.25,29663.25,29672.75,12255
2026-06-09T19:30:00+05:30,29672.75,29712,29626.25,29664,15051
2026-06-09T19:35:00+05:30,29664,29702.5,29624,29630.75,11685
2026-06-09T19:40:00+05:30,29631.25,29632.5,29484.5,29491.5,17252
2026-06-09T19:45:00+05:30,29491.75,29514,29366.75,29411.75,19976
2026-06-09T19:50:00+05:30,29413,29507,29365,29504.5,16365
2026-06-09T19:55:00+05:30,29503.5,29526.25,29425.75,29444,14800
2026-06-09T20:00:00+05:30,29444,29464,29381.75,29438.25,14838
2026-06-09T20:05:00+05:30,29438.5,29487.5,29396.5,29439,12743
2026-06-09T20:10:00+05:30,29439.5,29468.75,29271.25,29286.25,14259
2026-06-09T20:15:00+05:30,29287.25,29314.5,29096.75,29115.75,22304
2026-06-09T20:20:00+05:30,29112.25,29202.75,29083.75,29200.25,16857
2026-06-09T20:25:00+05:30,29201,29241.25,29133.25,29239.75,11327
2026-06-09T20:30:00+05:30,29242,29258,29176.75,29183.75,10274
2026-06-09T20:35:00+05:30,29183.25,29274,29143.5,29269,9102
2026-06-09T20:40:00+05:30,29269.25,29302,29203.25,29243.5,8631
2026-06-09T20:45:00+05:30,29243.75,29254.5,29160,29164.75,8379
2026-06-09T20:50:00+05:30,29163.5,29194,29013.75,29018.25,11889
2026-06-09T20:55:00+05:30,29018,29034,28848.5,28859.25,15401
2026-06-09T21:00:00+05:30,28861.25,28910,28828.25,28853.5,15728
2026-06-09T21:05:00+05:30,28854,28888,28809.75,28873.5,13382
2026-06-09T21:10:00+05:30,28872.75,28944.25,28862,28902.75,11533
2026-06-09T21:15:00+05:30,28903.75,28932.5,28889,28923,7953
2026-06-09T21:20:00+05:30,28921.75,28972,28847.75,28851.5,11390
2026-06-09T21:25:00+05:30,28852.5,28862.25,28681.5,28695.25,17044
2026-06-09T21:30:00+05:30,28696,28787.5,28692,28720,12553
2026-06-09T21:35:00+05:30,28720,28727.25,28575,28608.75,16076
2026-06-09T21:40:00+05:30,28607,28668.75,28581,28621.75,12068
2026-06-09T21:45:00+05:30,28621.75,28627.75,28430.75,28446,20125
2026-06-09T21:50:00+05:30,28447,28542.5,28404.25,28537.75,16128
2026-06-09T21:55:00+05:30,28537.25,28581.25,28490.5,28523.5,12374
2026-06-09T22:00:00+05:30,28522.5,28572,28445,28486.25,15196
2026-06-09T22:05:00+05:30,28486.75,28552.75,28246.25,28268,16933
2026-06-09T22:10:00+05:30,28268.25,28394.5,28227.75,28375.5,15558
2026-06-09T22:15:00+05:30,28375.25,28434.25,28316.25,28367.75,13831
2026-06-09T22:20:00+05:30,28367.75,28388,28282.75,28286.75,9802
2026-06-09T22:25:00+05:30,28285.75,28487.75,28279,28480,10697
2026-06-09T22:30:00+05:30,28480.25,28640.5,28462.5,28624.75,12713
2026-06-09T22:35:00+05:30,28623.5,28643.75,28556.25,28612.75,10679
2026-06-09T22:40:00+05:30,28610,28674.5,28550,28650,9210
2026-06-09T22:45:00+05:30,28650,28730.5,28606.25,28723,10566
2026-06-09T22:50:00+05:30,28722.75,28787.25,28673,28728.25,13453
2026-06-09T22:55:00+05:30,28726.5,28778.25,28689.5,28743.25,8185
2026-06-09T23:00:00+05:30,28743.5,28805.5,28708,28802,8451
2026-06-09T23:05:00+05:30,28801.75,28850,28757.75,28822.25,8641
2026-06-09T23:10:00+05:30,28821.75,28924.5,28806.5,28866,9890
2026-06-09T23:15:00+05:30,28867.25,28884.5,28714.25,28732.5,11823
2026-06-09T23:20:00+05:30,28733.25,28852.25,28731.25,28809.75,10250
2026-06-09T23:25:00+05:30,28808.5,28865.5,28802.25,28832.5,7070
2026-06-09T23:30:00+05:30,28831.5,28866.25,28784.75,28818.5,6708
2026-06-09T23:35:00+05:30,28819.5,28887.5,28803.5,28876.75,6701
2026-06-09T23:40:00+05:30,28877.75,28878.5,28818.75,28861.5,6564
2026-06-09T23:45:00+05:30,28860.5,28940.75,28823,28936.5,7302
2026-06-09T23:50:00+05:30,28937.25,28980,28898.75,28970.5,7560
2026-06-09T23:55:00+05:30,28969.25,28974.5,28896.5,28972.75,5036
2026-06-10T00:00:00+05:30,28973.25,29047,28967,29004.5,7692
2026-06-10T00:05:00+05:30,29004.5,29038,28983.75,29012.75,3847
2026-06-10T00:10:00+05:30,29014,29016.75,28912.25,28921.75,6028
2026-06-10T00:15:00+05:30,28922.5,28981.5,28916,28979.25,4662
2026-06-10T00:20:00+05:30,28979.75,29021.75,28951,28983.25,4649
2026-06-10T00:25:00+05:30,28982.75,29091.25,28978.75,29065.75,8041
2026-06-10T00:30:00+05:30,29066,29125.5,29020.25,29120.75,7622
2026-06-10T00:35:00+05:30,29120.25,29146.5,29045.75,29051.5,6568
2026-06-10T00:40:00+05:30,29051.25,29051.75,28956,28965.25,6611
2026-06-10T00:45:00+05:30,28965.75,28972.5,28852,28864.25,10107
2026-06-10T00:50:00+05:30,28864.25,28927,28839,28891.25,7638
2026-06-10T00:55:00+05:30,28890.25,28970.5,28872,28953.75,6320
2026-06-10T01:00:00+05:30,28952.75,28988,28929.75,28977.75,5932
2026-06-10T01:05:00+05:30,28979,28985,28919,28922.25,4949
2026-06-10T01:10:00+05:30,28922.25,28949.25,28853.25,28922.25,7488
2026-06-10T01:15:00+05:30,28922.75,28940,28850.5,28879.25,5721
2026-06-10T01:20:00+05:30,28880,29038.5,28880,29032.75,12479
2026-06-10T01:25:00+05:30,29031.5,29135.25,29028,29115.25,24559
2026-06-10T01:30:00+05:30,29115.75,29196.25,29087,29194.75,10219
2026-06-10T01:35:00+05:30,29194.5,29194.5,29108.75,29123.25,4447
2026-06-10T01:40:00+05:30,29122.5,29129.75,29085.75,29103.25,2032
2026-06-10T01:45:00+05:30,29104.25,29126.25,29089.25,29089.25,1204
2026-06-10T01:50:00+05:30,29090.75,29114.75,29082.25,29098,843
2026-06-10T01:55:00+05:30,29099.5,29131.5,29096.5,29122.75,878
2026-06-10T02:00:00+05:30,29118.25,29126.25,29101.25,29122,588
2026-06-10T02:05:00+05:30,29124.25,29139,29116.25,29135.25,846
2026-06-10T02:10:00+05:30,29132.5,29159.75,29131.5,29145.75,962
2026-06-10T02:15:00+05:30,29146,29159,29138,29154.25,846
2026-06-10T02:20:00+05:30,29154,29155.75,29124,29126.25,648
2026-06-10T02:25:00+05:30,29128,29147.5,29120.75,29140.5,547
2026-06-10T03:30:00+05:30,29094.75,29098.75,29028.5,29065.5,2109
2026-06-10T03:35:00+05:30,29066,29095.5,29054.75,29083.25,967
2026-06-10T03:40:00+05:30,29085,29091,29068,29086.75,307
2026-06-10T03:45:00+05:30,29088,29118,29070,29097.5,787
2026-06-10T03:50:00+05:30,29098,29099.75,29071.25,29080.25,330
2026-06-10T03:55:00+05:30,29078.5,29088,29053,29071,505
2026-06-10T04:00:00+05:30,29070.5,29072,29044.25,29048,645
2026-06-10T04:05:00+05:30,29049.75,29053,29000.75,29032.25,1043
2026-06-10T04:10:00+05:30,29032,29056,28994,29023.75,1233
2026-06-10T04:15:00+05:30,29023,29035,28982,29005.5,622
2026-06-10T04:20:00+05:30,29007.5,29024.75,28986.5,29015.75,593
2026-06-10T04:25:00+05:30,29016.75,29043,29006,29029,668
2026-06-10T04:30:00+05:30,29029.25,29084.5,29019.5,29068,1002
2026-06-10T04:35:00+05:30,29071.25,29102.75,29055.25,29073.5,784
2026-06-10T04:40:00+05:30,29073.5,29081.75,29025.5,29031.25,691
2026-06-10T04:45:00+05:30,29028,29042.75,29003,29015.25,640
2026-06-10T04:50:00+05:30,29018.25,29030,29002.75,29015,297
2026-06-10T04:55:00+05:30,29017.25,29017.5,28997.75,29005,265
2026-06-10T05:00:00+05:30,29005.5,29018.75,28985,29011.25,663
2026-06-10T05:05:00+05:30,29011,29020.75,28980.25,29008.75,618
2026-06-10T05:10:00+05:30,29010,29019.5,28995,29015,365
2026-06-10T05:15:00+05:30,29018,29047.75,29010.75,29031,676
2026-06-10T05:20:00+05:30,29032.25,29055,29021.5,29052.75,673
2026-06-10T05:25:00+05:30,29052.75,29071.5,29040.75,29064.5,814
2026-06-10T05:30:00+05:30,29065.75,29139.75,29065.75,29127,1780
2026-06-10T05:35:00+05:30,29127,29169,29117.75,29155.25,2026
2026-06-10T05:40:00+05:30,29156.75,29158.75,29089,29120.75,1522
2026-06-10T05:45:00+05:30,29119,29131.75,29070.5,29108,1088
2026-06-10T05:50:00+05:30,29108,29115,29082.5,29102.25,653
2026-06-10T05:55:00+05:30,29103.25,29128,29082,29118,599
2026-06-10T06:00:00+05:30,29118.5,29123.25,29028,29031,1444
2026-06-10T06:05:00+05:30,29030.25,29061,28993.25,29026.5,1624
2026-06-10T06:10:00+05:30,29028,29029.25,28960,28999.25,1086
2026-06-10T06:15:00+05:30,28996,29048.5,28991.25,29048.25,1029
2026-06-10T06:20:00+05:30,29046.5,29082,29005.25,29066,1425
2026-06-10T06:25:00+05:30,29065.5,29096,29033.5,29075.25,1471
2026-06-10T06:30:00+05:30,29077.25,29100.5,29046.75,29092.5,1086
2026-06-10T06:35:00+05:30,29095.75,29096.25,29054.25,29058.75,712
2026-06-10T06:40:00+05:30,29057.75,29109.5,29042.25,29076.25,936
2026-06-10T06:45:00+05:30,29078.5,29115,29065,29104.75,668
2026-06-10T06:50:00+05:30,29105.25,29106.5,29064.25,29071,602
2026-06-10T06:55:00+05:30,29070.25,29093,29049.75,29073.25,761
2026-06-10T07:00:00+05:30,29073.5,29097.25,29023,29093.25,1201
2026-06-10T07:05:00+05:30,29094.25,29098.75,29049.5,29070.5,570
2026-06-10T07:10:00+05:30,29069.5,29074,29026.25,29026.25,578
2026-06-10T07:15:00+05:30,29027.5,29068.25,29019,29060,608
2026-06-10T07:20:00+05:30,29060,29067,29011.25,29032,721
2026-06-10T07:25:00+05:30,29027,29060.75,29025,29033.5,500
2026-06-10T07:30:00+05:30,29035,29042,29006,29012.25,468
2026-06-10T07:35:00+05:30,29011.5,29014.25,28980.75,28987.75,652
2026-06-10T07:40:00+05:30,28989.25,29018,28979.25,28998,853
2026-06-10T07:45:00+05:30,29000.25,29011,28983.25,29002.5,380
2026-06-10T07:50:00+05:30,28998.75,29026.25,28985,28998.5,830
2026-06-10T07:55:00+05:30,28995,29016.25,28974.75,29016.25,790
2026-06-10T08:00:00+05:30,29015.25,29034.75,28998.75,29001.75,610
2026-06-10T08:05:00+05:30,29002.75,29017.25,28984.5,28985,384
2026-06-10T08:10:00+05:30,28984,29006,28982.25,29006,336
2026-06-10T08:15:00+05:30,29005.75,29035.25,29003.5,29034,565
2026-06-10T08:20:00+05:30,29034,29035.25,28963,28968.25,645
2026-06-10T08:25:00+05:30,28968,28990.75,28960.25,28970.5,635
2026-06-10T08:30:00+05:30,28972.5,29003.25,28967.25,28999.25,549
2026-06-10T08:35:00+05:30,29001,29029.5,29000,29014.75,557
2026-06-10T08:40:00+05:30,29014.75,29021.25,29004.5,29010.75,304
2026-06-10T08:45:00+05:30,29013.25,29046.25,29008.5,29014,531
2026-06-10T08:50:00+05:30,29015.25,29022.25,28995.5,29018,388
2026-06-10T08:55:00+05:30,29018.25,29023.75,28998,29008.5,261
2026-06-10T09:00:00+05:30,29009.25,29024.5,28999,29010.75,391
2026-06-10T09:05:00+05:30,29008.5,29008.5,28980,28994.25,413
2026-06-10T09:10:00+05:30,28990,28990.75,28975,28977,229
2026-06-10T09:15:00+05:30,28978,28998,28975,28981.75,279
2026-06-10T09:20:00+05:30,28982,28998.5,28973.75,28996.5,311
2026-06-10T09:25:00+05:30,28995.75,29008,28983.75,28992.75,383
2026-06-10T09:30:00+05:30,28992.75,29001.25,28971.75,28980,387
2026-06-10T09:35:00+05:30,28978.75,28978.75,28949.5,28954,674
2026-06-10T09:40:00+05:30,28953.5,28964,28940.25,28946.5,535
2026-06-10T09:45:00+05:30,28944.5,28968.75,28930.75,28966,771
2026-06-10T09:50:00+05:30,28965.75,28977.75,28944,28947.25,590
2026-06-10T09:55:00+05:30,28950.75,28964.75,28935,28942,744
2026-06-10T10:00:00+05:30,28940.25,28940.25,28903.5,28907.75,950
2026-06-10T10:05:00+05:30,28908.75,28915.25,28888.25,28905.75,750
2026-06-10T10:10:00+05:30,28906.75,28923,28875.75,28878.25,794
2026-06-10T10:15:00+05:30,28877.5,28918.25,28867.25,28913.75,905
2026-06-10T10:20:00+05:30,28911.75,28944.25,28901.25,28939,637
2026-06-10T10:25:00+05:30,28938.5,28946,28890.5,28898.5,594
2026-06-10T10:30:00+05:30,28898.75,28930.5,28885.25,28926.25,629
2026-06-10T10:35:00+05:30,28925,28951,28906,28912.25,670
2026-06-10T10:40:00+05:30,28912.25,28918.5,28897.75,28907.5,350
2026-06-10T10:45:00+05:30,28905,28905,28855.25,28860.5,745
2026-06-10T10:50:00+05:30,28861.75,28885.25,28853.75,28872.25,994
2026-06-10T10:55:00+05:30,28871,28939.5,28863,28937.5,985
2026-06-10T11:00:00+05:30,28938,28944.25,28881.5,28914,892
2026-06-10T11:05:00+05:30,28914.25,28930,28903.25,28924,367
2026-06-10T11:10:00+05:30,28925.5,28945,28905.5,28918.25,642
2026-06-10T11:15:00+05:30,28917.25,28926,28893.25,28912.5,397
2026-06-10T11:20:00+05:30,28910,28946.5,28907.25,28943.25,708
2026-06-10T11:25:00+05:30,28944.25,28968,28932.5,28943.25,814
2026-06-10T11:30:00+05:30,28945,28971,28935.75,28966,787
2026-06-10T11:35:00+05:30,28966.5,28998,28961,28980,913
2026-06-10T11:40:00+05:30,28976,28982,28961.25,28977.25,499
2026-06-10T11:45:00+05:30,28975,29001.25,28972.5,28998.25,618
2026-06-10T11:50:00+05:30,28999.5,29000.25,28953,28957,694
2026-06-10T11:55:00+05:30,28956.25,28987.5,28952.25,28983.25,593
2026-06-10T12:00:00+05:30,28981.75,29001.25,28967.5,28975.75,914
2026-06-10T12:05:00+05:30,28976.25,29014,28962.25,28992.25,1009
2026-06-10T12:10:00+05:30,28992,28996.5,28975.75,28989.5,563
2026-06-10T12:15:00+05:30,28985,28989.25,28976.25,28982,342
2026-06-10T12:20:00+05:30,28980.75,28988.25,28966,28978,482
2026-06-10T12:25:00+05:30,28975,28979.25,28959.25,28968.5,385
2026-06-10T12:30:00+05:30,28969,28981,28955.75,28957.75,564
2026-06-10T12:35:00+05:30,28956,28978.25,28942.5,28976.25,797
2026-06-10T12:40:00+05:30,28976.5,29001,28960.75,28981.25,638
2026-06-10T12:45:00+05:30,28980.75,28994.25,28952.75,28954.5,460
2026-06-10T12:50:00+05:30,28959.25,28971,28938,28952.75,587
2026-06-10T12:55:00+05:30,28952.75,28952.75,28929.25,28942.5,493
2026-06-10T13:00:00+05:30,28943,28982,28930.25,28977.5,615
2026-06-10T13:05:00+05:30,28979,28984.5,28951.5,28953.25,414
2026-06-10T13:10:00+05:30,28957,28961,28936.5,28947.25,306
2026-06-10T13:15:00+05:30,28946.25,28966.25,28926.25,28950.25,620
2026-06-10T13:20:00+05:30,28949.75,28957.75,28935,28950,628
2026-06-10T13:25:00+05:30,28948.5,28973,28946.25,28964.25,604
2026-06-10T13:30:00+05:30,28964.25,28965,28873.25,28906.75,1410
2026-06-10T13:35:00+05:30,28907,28931,28891,28921,820
2026-06-10T13:40:00+05:30,28922.5,28939,28875.75,28876.25,1010
2026-06-10T13:45:00+05:30,28876.25,28894.75,28866.5,28870.25,892
2026-06-10T13:50:00+05:30,28869.25,28894,28856,28875,1238
2026-06-10T13:55:00+05:30,28876.25,28887.5,28842.25,28861,1079
2026-06-10T14:00:00+05:30,28861,28871,28845.25,28848.5,843
2026-06-10T14:05:00+05:30,28847,28888,28845,28858.5,721
2026-06-10T14:10:00+05:30,28857,28857,28768.25,28776.25,1648
2026-06-10T14:15:00+05:30,28774.5,28787,28742.25,28776.75,2017
2026-06-10T14:20:00+05:30,28776.25,28819.75,28772.75,28772.75,1565
2026-06-10T14:25:00+05:30,28773.75,28779.25,28747.5,28762,807
2026-06-10T14:30:00+05:30,28763.5,28774,28745.75,28761.5,958
2026-06-10T14:35:00+05:30,28761,28788.75,28755.25,28757.25,1007
2026-06-10T14:40:00+05:30,28755,28797,28709.5,28710.75,1795
2026-06-10T14:45:00+05:30,28709.75,28737.75,28684,28710,2104
2026-06-10T14:50:00+05:30,28711.25,28725,28689.25,28723.25,967
2026-06-10T14:55:00+05:30,28722.25,28783.5,28719.25,28778.25,1164
2026-06-10T15:00:00+05:30,28776.75,28787,28763.25,28779,788
2026-06-10T15:05:00+05:30,28780.25,28830,28774.25,28789.75,1130
2026-06-10T15:10:00+05:30,28790.25,28792.25,28742,28762.75,1292
2026-06-10T15:15:00+05:30,28763.5,28779,28739.25,28759.5,604
2026-06-10T15:20:00+05:30,28760.25,28778.75,28735,28768.75,989
2026-06-10T15:25:00+05:30,28769,28788.25,28766.5,28777.75,440
2026-06-10T15:30:00+05:30,28779.5,28781.75,28749.75,28768.75,739
2026-06-10T15:35:00+05:30,28766.75,28786,28740,28778.75,777
2026-06-10T15:40:00+05:30,28779.75,28780.25,28753.75,28762.75,556
2026-06-10T15:45:00+05:30,28763,28765.5,28710,28725.75,1300
2026-06-10T15:50:00+05:30,28722,28762.75,28699.25,28749.25,1165
2026-06-10T15:55:00+05:30,28747.75,28772.25,28740,28766.75,856
2026-06-10T16:00:00+05:30,28765.75,28809,28760.25,28777.75,1236
2026-06-10T16:05:00+05:30,28776.25,28808.25,28766.75,28796,527
